omega:    0.0100000
   rho:            u1:                u2:                 u3:
0.025000000   0.0007301575214   -0.001909469719   -0.003294615097
0.050000000    0.001478185308   -0.003864082103   -0.006662871160
0.075000000    0.002243913676   -0.005861746034    -0.01009676928
0.10000000    0.003027162226   -0.007900294477    -0.01358807008
0.12500000    0.003827739871   -0.009977486959    -0.01712831400
0.15000000    0.004645444874    -0.01209101214    -0.02070884233
0.17500000    0.005480064882    -0.01423849053    -0.02432081881
0.20000000    0.006331376975    -0.01641747724    -0.02795525189
0.22500000    0.007199147715    -0.01862546494    -0.03160301739
0.25000000    0.008083133206    -0.02085988679    -0.03525488178
0.27500000    0.008983079153    -0.02311811961    -0.03890152568
0.30000000    0.009898720931    -0.02539748700    -0.04253356789
0.32500000     0.01082978366    -0.02769526265    -0.04614158957
0.35000000     0.01177598229    -0.03000867369    -0.04971615866
0.37500000     0.01273702168    -0.03233490412    -0.05324785452
0.40000000     0.01371259668    -0.03467109831    -0.05672729258
0.42500000     0.01470239225    -0.03701436463    -0.06014514908
0.45000000     0.01570608355    -0.03936177904    -0.06349218572
0.47500000     0.01672333604    -0.04171038883    -0.06675927423
0.50000000     0.01775380563    -0.04405721637    -0.06993742080
0.52500000     0.01879713873    -0.04639926297    -0.07301779021
0.55000000     0.01985297245    -0.04873351267    -0.07599172972
0.57500000     0.02092093468    -0.05105693622    -0.07885079256
0.60000000     0.02200064427    -0.05336649498    -0.08158676105
0.62500000     0.02309171110    -0.05565914493    -0.08419166915
0.65000000     0.02419373630    -0.05793184061    -0.08665782453
0.67500000     0.02530631238    -0.06018153923    -0.08897782999
0.70000000     0.02642902335    -0.06240520464    -0.09114460427
0.72500000     0.02756144492    -0.06459981138    -0.09315140206
0.75000000     0.02870314468    -0.06676234880    -0.09499183329
0.77500000     0.02985368221    -0.06888982502    -0.09665988155
0.80000000     0.03101260933    -0.07097927108    -0.09814992166
0.82500000     0.03217947023    -0.07302774488    -0.09945673628
0.85000000     0.03335380168    -0.07503233527     -0.1005755315
0.87500000     0.03453513321    -0.07699016601     -0.1015019517
0.90000000     0.03572298732    -0.07889839976     -0.1022320926
0.92500000     0.03691687966    -0.08075424203     -0.1027625142
0.95000000     0.03811631927    -0.08255494502     -0.1030902518
0.97500000     0.03932080873    -0.08429781155     -0.1032128264
 1.0000000     0.04052984444    -0.08598019883     -0.1031282531
 1.0250000     0.04174291680    -0.08759952221     -0.1028350494
 1.0500000     0.04295951042    -0.08915325888     -0.1023322411
 1.0750000     0.04417910440    -0.09063895151     -0.1016193677
 1.1000000     0.04540117248    -0.09205421178     -0.1006964862
 1.1250000     0.04662518337    -0.09339672390    -0.09956417369
 1.1500000     0.04785060089    -0.09466424799    -0.09822352840
 1.1750000     0.04907688428    -0.09585462341    -0.09667616961
 1.2000000     0.05030348841    -0.09696577197    -0.09492423623
 1.2250000     0.05152986405    -0.09799570110    -0.09297038394
 1.2500000     0.05275545810    -0.09894250689    -0.09081778103
 1.2750000     0.05397971384    -0.09980437698    -0.08847010294
 1.3000000     0.05520207122     -0.1005795934    -0.08593152544
 1.3250000     0.05642196710     -0.1012665354    -0.08320671653
 1.3500000     0.05763883551     -0.1018636819    -0.08030082698
 1.3750000     0.05885210789     -0.1023696139    -0.07721947971
 1.4000000     0.06006121342     -0.1027830172    -0.07396875781
 1.4250000     0.06126557925     -0.1031026844    -0.07055519140
 1.4500000     0.06246463076     -0.1033275167    -0.06698574327
 1.4750000     0.06365779188     -0.1034565265    -0.06326779335
 1.5000000     0.06484448530     -0.1034888389    -0.05940912212
 1.5250000     0.06602413283     -0.1034236932    -0.05541789282
 1.5500000     0.06719615561     -0.1032604449    -0.05130263269
 1.5750000     0.06835997444     -0.1029985666    -0.04707221323
 1.6000000     0.06951501001     -0.1026376499    -0.04273582944
 1.6250000     0.07066068326     -0.1021774058    -0.03830297818
 1.6500000     0.07179641560     -0.1016176663    -0.03378343573
 1.6750000     0.07292162921     -0.1009583847    -0.02918723447
 1.7000000     0.07403574736     -0.1001996365    -0.02452463890
 1.7250000     0.07513819466    -0.09934162014    -0.01980612092
 1.7500000     0.07622839738    -0.09838465675    -0.01504233452
 1.7750000     0.07730578372    -0.09732919080    -0.01024408992
 1.8000000     0.07836978408    -0.09617578999   -0.005422327219
 1.8250000     0.07941983142    -0.09492514509  -0.0005880896042
 1.8500000     0.08045536147    -0.09357806966    0.004247503797
 1.8750000     0.08147581306    -0.09213549961    0.009073285336
 1.9000000     0.08248062842    -0.09059849256     0.01387806649
 1.9250000     0.08346925344    -0.08896822708     0.01865066568
 1.9500000     0.08444113797    -0.08724600177     0.02337993610
