omega:    0.500000
   rho:            u1:                u2:                 u3:
0.020000000   2.397613015E-05   5.415128738E-05   8.404671957E-05
0.040000000   9.774581866E-05   0.0002205972812   0.0003421198303
0.060000000   0.0002240051969   0.0005049119101   0.0007820577237
0.080000000   0.0004053534322   0.0009120775874    0.001410198798
0.10000000   0.0006442814049    0.001446438983    0.002231285769
0.12000000   0.0009431606559    0.002111660371    0.003248384035
0.14000000    0.001304232652    0.002910686887    0.004462815089
0.16000000    0.001729598421    0.003845710027    0.005874105842
0.18000000    0.002221208597    0.004918137660    0.007479954571
0.20000000    0.002780853928    0.006128568823    0.009276214038
0.22000000    0.003410156283    0.007476773539     0.01125689216
0.24000000    0.004110560205    0.008961677827     0.01341417046
0.26000000    0.004883325047     0.01058135409     0.01573844029
0.28000000    0.005729517727     0.01233301698     0.01821835675
0.30000000    0.006650006134     0.01421302486     0.02084090996
0.32000000    0.007645453224     0.01621688687     0.02359151311
0.34000000    0.008716311826     0.01833927563     0.02645410679
0.36000000    0.009862820188     0.02057404554     0.02941127864
0.38000000     0.01108499828     0.02291425661     0.03244439733
0.40000000     0.01238264490     0.02535220370     0.03553375983
0.42000000     0.01375533552     0.02787945104     0.03865875059
0.44000000     0.01520242101     0.03048687185     0.04179801131
0.46000000     0.01672302711     0.03316469275     0.04492961966
0.48000000     0.01831605480     0.03590254286     0.04803127552
0.50000000     0.01998018140     0.03868950717     0.05108049284
0.52000000     0.02171386256     0.04151418388     0.05405479547
0.54000000     0.02351533502     0.04436474543     0.05693191517
0.56000000     0.02538262022     0.04722900278     0.05968998978
0.58000000     0.02731352863     0.05009447249     0.06230775994
0.60000000     0.02930566494     0.05294844636     0.06476476228
0.62000000     0.03135643393     0.05577806298     0.06704151733
0.64000000     0.03346304709     0.05857038085     0.06911971042
0.66000000     0.03562252997     0.06131245261     0.07098236373
0.68000000     0.03783173021     0.06399139983     0.07261399788
0.70000000     0.04008732614     0.06659448799     0.07400078154
0.72000000     0.04238583605     0.06910920108     0.07513066749
0.74000000     0.04472362807     0.07152331534     0.07599351392
0.76000000     0.04709693046     0.07382497172     0.07658118974
0.78000000     0.04950184248     0.07600274664     0.07688766273
0.80000000     0.05193434573     0.07804572039     0.07690906988
0.82000000     0.05439031576     0.07994354296     0.07664376895
0.84000000     0.05686553420     0.08168649681     0.07609237086
0.86000000     0.05935570105     0.08326555610     0.07525775249
0.88000000     0.06185644733     0.08467244204     0.07414504968
0.90000000     0.06436334789     0.08589967415     0.07276163045
0.92000000     0.06687193434     0.08694061688     0.07111704868
0.94000000     0.06937770818     0.08778952144     0.06922297851
0.96000000     0.07187615393     0.08844156255     0.06709313002
0.98000000     0.07436275221     0.08889286995     0.06474314704
 1.0000000     0.07683299290     0.08914055429     0.06219048781
 1.0200000     0.07928238811     0.08918272746     0.05945428959
 1.0400000     0.08170648500     0.08901851718     0.05655521848
 1.0600000     0.08410087852     0.08864807567     0.05351530564
 1.0800000     0.08646122375     0.08807258246     0.05035777147
 1.1000000     0.08878324812     0.08729424140     0.04710683925
 1.1200000     0.09106276315     0.08631627171     0.04378753993
 1.1400000     0.09329567600     0.08514289332     0.04042550973
 1.1600000     0.09547800043     0.08377930655     0.03704678237
 1.1800000     0.09760586745     0.08223166626     0.03367757784
 1.2000000     0.09967553547     0.08050705064     0.03034408939
 1.2200000      0.1016833999     0.07861342496     0.02707227080
 1.2400000      0.1036260021     0.07655960032     0.02388762559
 1.2600000      0.1055000383     0.07435518790     0.02081500026
 1.2800000      0.1073023671     0.07201054886     0.01787838304
 1.3000000      0.1090300169     0.06953674023     0.01510071009
 1.3200000      0.1106801926     0.06694545722     0.01250368083
 1.3400000      0.1122502820     0.06424897221     0.01010758372
 1.3600000      0.1137378605     0.06146007089    0.007931134291
 1.3800000      0.1151406963     0.05859198589    0.005991326439
 1.4000000      0.1164567544     0.05565832831    0.004303298476
 1.4200000      0.1176841998     0.05267301763    0.002880214837
 1.4400000      0.1188214003     0.04965021037    0.001733164460
 1.4600000      0.1198669283     0.04660422786   0.0008710765946
 1.4800000      0.1208195626     0.04354948375   0.0003006546656
 1.5000000      0.1216782884     0.04050041143   2.632865136E-05
 1.5200000      0.1224422978     0.03747139197   5.022626198E-05
 1.5400000      0.1231109890     0.03447668289   0.0003721630465
 1.5600000      0.1236839648     0.03153034823   0.0009896513863
 1.5800000      0.1241610310     0.02864619020    0.001897928167
 1.6000000      0.1245421937     0.02583768287    0.003090000764
 1.6200000      0.1248276566     0.02311790825    0.004556710820
 1.6400000      0.1250178166     0.02049949506    0.006286815133
 1.6600000      0.1251132604     0.01799456046    0.008267082865
 1.6800000      0.1251147595     0.01561465514     0.01048240810
 1.7000000      0.1250232649     0.01337071195     0.01291593670
 1.7200000      0.1248399018     0.01127299831     0.01554920628
 1.7400000      0.1245659636    0.009331072674     0.01836229803
 1.7600000      0.1242029051    0.007553745142     0.02133399898
 1.7800000      0.1237523361    0.005949042452     0.02444197337
 1.8000000      0.1232160144    0.004524177443     0.02766294148
 1.8200000      0.1225958378    0.003285523089     0.03097286456
 1.8400000      0.1218938373    0.002238591176     0.03434713408
 1.8600000      0.1211121686    0.001388015669     0.03776076391
 1.8800000      0.1202531043   0.0007375407646     0.04118858373
 1.9000000      0.1193190258   0.0002900136288     0.04460543207
 1.9200000      0.1183124146   4.738176775E-05     0.04798634752
 1.9400000      0.1172358441   1.069496143E-05     0.05130675647
 1.9600000      0.1160919711   0.0001801116676     0.05454265605
 1.9800000      0.1148835272   0.0005549097753     0.05767079074
 2.0000000      0.1136133102    0.001133501566     0.06066882140
 2.0200000      0.1122841758    0.001913452717     0.06351548545
 2.0400000      0.1108990289    0.002891505167     0.06619074702
 2.0600000      0.1094608154    0.004063603639     0.06867593606
 2.0800000      0.1079725136    0.005424925602     0.07095387543
 2.1000000      0.1064371268    0.006969914439     0.07300899519
 2.1200000      0.1048576745    0.008692315582     0.07482743330
 2.1400000      0.1032371852     0.01058521534     0.07639712222
 2.1600000      0.1015786883     0.01264108218     0.07770786090
 2.1800000     0.09988520737     0.01485181015     0.07875137186
 2.2000000     0.09815975246     0.01720876421     0.07952134310
 2.2200000     0.09640531353     0.01970282714     0.08001345484
 2.2400000     0.09462485377     0.02232444781     0.08022539105
 2.2600000     0.09282130327     0.02506369041     0.08015683597
 2.2800000     0.09099755306     0.02791028451     0.07980945593
 2.3000000     0.08915644932     0.03085367554     0.07918686683
 2.3200000     0.08730078806     0.03388307550     0.07829458772
 2.3400000     0.08543331001     0.03698751355     0.07713998127
 2.3600000     0.08355669589     0.04015588633     0.07573218160
 2.3800000     0.08167356199     0.04337700770     0.07408201040
 2.4000000     0.07978645611     0.04663965755     0.07220188209
 2.4200000     0.07789785380     0.04993262975     0.07010569906
 2.4400000     0.07601015500     0.05324477866     0.06780873788
 2.4600000     0.07412568094     0.05656506427     0.06532752750
 2.4800000     0.07224667144     0.05988259569     0.06267972057
 2.5000000     0.07037528248     0.06318667276     0.05988395893
 2.5200000     0.06851358416     0.06646682570     0.05695973445
 2.5400000     0.06666355895     0.06971285269     0.05392724621
 2.5600000     0.06482710023     0.07291485511     0.05080725531
 2.5800000     0.06300601115     0.07606327048     0.04762093832
 2.6000000     0.06120200386     0.07914890295     0.04438974049
 2.6200000     0.05941669888     0.08216295122     0.04113522987
 2.6400000     0.05765162489     0.08509703396     0.03787895321
 2.6600000     0.05590821873     0.08794321248     0.03464229485
 2.6800000     0.05418782563     0.09069401087     0.03144633943
 2.7000000     0.05249169972     0.09334243337     0.02831173925
 2.7200000     0.05082100481     0.09588197914     0.02525858734
 2.7400000     0.04917681529     0.09830665435     0.02230629680
 2.7600000     0.04756011733      0.1006109817     0.01947348717
 2.7800000     0.04597181024      0.1027900072     0.01677787857
 2.8000000     0.04441270803      0.1048393047     0.01423619398
 2.8200000     0.04288354107      0.1067549778     0.01186407035
 2.8400000     0.04138495804      0.1085336594    0.009675978732
 2.8600000     0.03991752788      0.1101725087    0.007685153912
 2.8800000     0.03848174199      0.1116692069    0.005903533723
 2.9000000     0.03707801643      0.1130219494    0.004341708197
 2.9200000     0.03570669437      0.1142294377    0.003008878650
 2.9400000     0.03436804846      0.1152908676    0.001912826728
 2.9600000     0.03306228344      0.1162059176    0.001059893331
 2.9800000     0.03178953872      0.1169747337   0.0004549672871
 3.0000000     0.03054989106      0.1175979147   0.0001014835908
 3.0200000     0.02934335724      0.1180764944   1.430926948E-06
 3.0400000     0.02816989686      0.1184119240   0.0001553681705
 3.0600000     0.02702941508      0.1186060522   0.0005624494850
 3.0800000     0.02592176538      0.1186611053    0.001220457594
 3.1000000     0.02484675241      0.1185796661    0.002125844763
 3.1200000     0.02380413469      0.1183646520    0.003273780972
 3.1400000     0.02279362747      0.1180192928    0.004658208752
 3.1600000     0.02181490538      0.1175471081    0.006271904110
 3.1800000     0.02086760522      0.1169518839    0.008106542936
 3.2000000     0.01995132861      0.1162376497     0.01015277230
 3.2200000     0.01906564465      0.1154086552     0.01240028601
 3.2400000     0.01821009247      0.1144693470     0.01483790378
 3.2600000     0.01738418381      0.1134243455     0.01745365340
 3.2800000     0.01658740546      0.1122784222     0.02023485527
 3.3000000     0.01581922171      0.1110364770     0.02316820864
 3.3200000     0.01507907664      0.1097035164     0.02623987900
 3.3400000     0.01436639643      0.1082846318     0.02943558597
 3.3600000     0.01368059157      0.1067849787     0.03274069112
 3.3800000     0.01302105892      0.1052097562     0.03614028523
 3.4000000     0.01238718380      0.1035641876     0.03961927430
 3.4200000     0.01177834193      0.1018535014     0.04316246399
 3.4400000     0.01119390129      0.1000829136     0.04675464190
 3.4600000     0.01063322393     0.09825761039     0.05038065732
 3.4800000     0.01009566765     0.09638273184     0.05402549792
 3.5000000    0.009580587628     0.09446335684     0.05767436323
 3.5200000    0.009087337952     0.09250448857     0.06131273436
 3.5400000    0.008615273064     0.09051104120     0.06492643978
 3.5600000    0.008163749118     0.08848782749     0.06850171692
 3.5800000    0.007732125258     0.08643954731     0.07202526930
 3.6000000    0.007319764811     0.08437077729     0.07548431908
 3.6200000    0.006926036401     0.08228596133     0.07886665485
